Source,Lever type,year,total
NERDS,expenditure,FY27,3180000
NERDS,expenditure,FY28,1700000
NERDS,expenditure,FY29,0
NERDS,expenditure,FY30,0
NERDS,revenue,FY27,4656600
NERDS,revenue,FY28,1363000
NERDS,revenue,FY29,223000
NERDS,revenue,FY30,223000
Nov17,expenditure,FY27,1430000
Nov17,expenditure,FY28,700000
Nov17,expenditure,FY29,0
Nov17,expenditure,FY30,0
Nov17,revenue,FY27,350000
Nov17,revenue,FY28,25000
Nov17,revenue,FY29,25000
Nov17,revenue,FY30,25000
Nov3,expenditure,FY27,2180000
Nov3,expenditure,FY28,700000
Nov3,expenditure,FY29,0
Nov3,expenditure,FY30,0
Nov3,revenue,FY27,1256600
Nov3,revenue,FY28,363000
Nov3,revenue,FY29,223000
Nov3,revenue,FY30,223000
SDRP Data Hub,revenue,FY27,0
SDRP Data Hub,revenue,FY28,245000
SDRP Data Hub,revenue,FY29,0
SDRP Data Hub,revenue,FY30,0
WTF,revenue,FY27,0
WTF,revenue,FY28,60000
WTF,revenue,FY29,60000
WTF,revenue,FY30,60000
